Module,Statement UID,Statement Name,Reference standard(s) or regulation(s)
Persistent identifier page,1.4.1.01,Persistent identifier page,"ISO 24619:2011, ISO 26324:2022, ISO 690:2021 or any other relevant standard"
Product identification,2.1.1.03,Internationally recognized product ID,"Internationally recognized product IDs identification systems should be used, such as ISO/IEC 15459-4:2014"
Production site information,2.3.1.06,Production site code type in accordance with any internationally recognized system,ISO/IEC 6523-1 or other site identification systems as appropriate (ex. GLN)
Product composition,3.1.0.01-04,Threshold at which the product composition is disclosed,Internationally recognized systems such as the CAS Registry Number® should be used when reporting substances' names and identifiers. The details of the composition can be identified through various methods including IEC 824 74-1 or IEC 62474
Hazardous substances and substances of concern,3.2.0.01,This product contains no known hazardous substances according to the relevant cited reference standards or regulations,"The standard or regulation should apply to the target market and be publicly available, and shall be cited."
,3.2.0.02,"A declaration of hazardous substances in the product according to the selected relevant cited reference standards or regulations, is available publicly","Regulation (EC) 1907/2006 (REACH), IEC 62474-database (ROHS), IEC 63000, IEC 62321"
Recycled materials,3.4.0.28,"The pre-consumer and post-consumer recycled content is attributed recycled content, excluding book and claim model","If a chain of custody model is used (ex. Mass Balance), it should be cited and be in accordance with ISO 22095. "
Renewable materials,3.5.0.01-08,Mass fraction of renewable materials out of the total product mass,"The specification for renewable material provided in ISO 59020:2024, A.2.4, is used to assess renewable materials. If a chain of custody model is used, such as Mass Blance, but excluding book and claim, it should be cited and in accordance with ISO 22095."
Renewable energy,4.1.1.01-08,Fraction of energy that is renewable used in the production,An example of a standard that can provide frameworks for renewable energy assessment is ISO/IEC 13273-2:2015
Water reuse or recirculation,4.2.1.01-08,Volume fraction of reused or recirculated water used in the production of the product,"An example of a standard that can provide frameworks for reused or recirculated water assessment is ISO 59020:2024, Clause A.5, and ISO 14046"
Reliability,5.1.1.01,Product meeting relevant industrial state of the art reliability levels,"Reliability test methods and thresholds should be chosen based on the type, characteristics, intended use and operating conditions of the product. Examples of standards that can provide frameworks for reliability assessment are IEC 62308:2006 (for the electrotechnical sector) and EN 45552:2020 (for energy-related products)."
Maintenance and repair,5.2.1.01,Repairability of the product,"This is described in EN 45554:2020, Clause 7 (for energy-related products)"
Upgradability,5.3.1.01,Ability of the product to be updated to extend its useful life,An example of a standard that can provide frameworks on upgradability assessment is EN 45554
Disassembly,5.5.1.01,Ability of product to be disassembled,See ISO 8887-1 and EN 45556
Reuse,5.6.1.01,Ability of the product to be reused as is,An example of a standard that can provide frameworks on reuse assessment is EN 45554
Refurbishing,5.7.1.01,Ability of the product to be refurbished,An example of a standard that can provide frameworks on refurbishing assessment is EN 45554
Dismantling,6.2.1.01,Ability of the product to be dismantled,"Examples of a metric to count the steps of dismantling can be found in EN 45554:2020, Clause A.2"
Remanufacturing,6.3.1.01,Ability of the product to be remanufactured,"Examples of standards that can provide frameworks on remanufacturing are ANSI/RIC001.2-2021, DIN SPEC 91472 or EN 45553:2020"
Recycling,6.4.0.01,The product is designed for cycling in the technical cycle,"As defined in ISO 59004:2024, 3.1.20 annd using methods or frameworks that are in standards such as : ISO 59020:2024, A.3.4 and B.3.3; ISO 15270:2008; IEC/TR 62635:2012; EN 45555:2019; ISO 20915:2018."
,6.4.1.01,Ability of the product to be recycled at a similar level of quality to the original input materials listed under product composition,A quality ratio for recycling material is proposed in the European Product Environmental Footprint
Composting and biodegradability,6.5.0.01,The product is designed for cycling in the biological cycle,"Refer to ISO 59020:2024, A.3.5. Various International Standards define industrial, home composting and biodigestion, and should be referenced, such as ISO 15270, ISO 17088 or ASTM D6400"
Environmental benefits,,,Standards that can provide a framework on environmental benefits assessment such as ISO 59020:2024
